,Year,% Center
0,1989,0.08333333333333333
1,1990,0.11538461538461539
2,1991,0.2727272727272727
3,1992,0.1875
4,1993,0.3023255813953488
5,1994,0.2222222222222222
6,1995,0.16
7,1996,0.2765957446808511
8,1997,0.2553191489361702
9,1998,0.23214285714285715
10,1999,0.23404255319148937
11,2000,0.34
12,2001,0.32
13,2002,0.1836734693877551
14,2003,0.2777777777777778
15,2004,0.3
16,2005,0.22033898305084745
17,2006,0.17543859649122806
18,2007,0.21818181818181817
19,2008,0.2727272727272727
20,2009,0.07272727272727272
21,2010,0.2909090909090909
22,2011,0.2033898305084746
23,2012,0.21666666666666667
24,2013,0.25
25,2014,0.13333333333333333
26,2015,0.25
27,2016,0.2
28,2017,0.18333333333333332
29,2018,0.16666666666666666
30,2019,0.1
31,2020,0.11666666666666667
32,2021,0.15
