season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,link
1989-90,22,SAC,NBA,C,34,22,25.5,3.3,7.4,.442,0.0,0.1,.000,3.3,7.3,.446,.442,1.4,2.3,.628,1.9,3.9,5.8,1.9,0.5,1.7,1.8,3.9,8.0,https://www.basketball-reference.com//players/e/ellispe01.html
1990-91,23,WSB,NBA,C,76,30,25.6,4.3,8.4,.513,0.0,0.1,.000,4.3,8.3,.517,.513,1.8,2.8,.650,2.9,4.8,7.7,1.3,0.6,2.1,1.9,3.5,10.4,https://www.basketball-reference.com//players/e/ellispe01.html
1991-92,24,WSB,NBA,C,66,64,38.0,8.3,15.4,.539,0.0,0.0,.333,8.3,15.3,.540,.540,3.4,4.7,.728,3.3,7.9,11.2,2.9,0.9,2.7,3.0,3.4,20.0,https://www.basketball-reference.com//players/e/ellispe01.html
1992-93,25,WSB,NBA,C,49,48,34.7,7.0,13.4,.521,0.0,0.1,.000,7.0,13.3,.524,.521,3.5,4.9,.702,2.8,6.0,8.8,2.4,0.9,2.2,2.2,3.1,17.4,https://www.basketball-reference.com//players/e/ellispe01.html
1993-94,26,WSB,NBA,C,47,24,25.1,2.9,6.2,.469,0.0,0.1,.000,2.9,6.1,.474,.469,1.5,2.1,.722,1.6,3.5,5.1,1.5,0.5,1.1,1.6,3.0,7.3,https://www.basketball-reference.com//players/e/ellispe01.html
1994-95,27,BOS,NBA,C,55,11,19.7,2.8,5.5,.507,0.0,0.0,.000,2.8,5.4,.510,.507,1.3,1.8,.717,2.3,3.4,5.6,0.6,0.4,1.0,1.4,3.3,6.8,https://www.basketball-reference.com//players/e/ellispe01.html
1995-96,28,BOS,NBA,C,69,29,20.7,2.1,4.3,.492,0.0,0.0,,2.1,4.3,.492,.492,1.1,1.7,.641,2.2,4.3,6.5,0.9,0.6,1.4,1.2,3.0,5.3,https://www.basketball-reference.com//players/e/ellispe01.html
1996-97,29,BOS,NBA,PF,6,4,20.8,1.0,2.7,.375,0.0,0.0,,1.0,2.7,.375,.375,0.5,0.8,.600,1.5,2.8,4.3,0.7,0.8,1.5,1.2,3.5,2.5,https://www.basketball-reference.com//players/e/ellispe01.html
1997-98,30,BOS,NBA,PF,33,8,13.5,1.2,2.1,.571,0.0,0.0,,1.2,2.1,.571,.571,0.6,1.0,.588,1.6,1.7,3.3,0.9,0.6,0.9,0.8,2.7,3.0,https://www.basketball-reference.com//players/e/ellispe01.html
1999-00,32,BOS,NBA,C,30,5,9.0,0.6,1.4,.442,0.0,0.0,,0.6,1.4,.442,.442,0.5,0.7,.714,1.0,1.3,2.2,0.4,0.3,0.3,0.4,2.2,1.8,https://www.basketball-reference.com//players/e/ellispe01.html
2000-01,33,SEA,NBA,C,9,0,4.4,0.2,0.8,.286,0.0,0.0,,0.2,0.8,.286,.286,0.2,0.2,1.000,0.2,1.1,1.3,0.3,0.0,0.2,0.3,1.4,0.7,https://www.basketball-reference.com//players/e/ellispe01.html
1990-91,24,CLE,NBA,PF,81,2,20.5,3.4,7.9,.428,0.3,1.0,.299,3.1,7.0,.445,.446,1.5,1.9,.816,1.2,2.3,3.5,1.8,0.5,0.3,1.5,2.8,8.6,https://www.basketball-reference.com//players/f/ferryda01.html
1991-92,25,CLE,NBA,PF,68,1,13.8,2.0,4.8,.409,0.3,0.7,.354,1.7,4.1,.418,.434,0.9,1.1,.836,0.8,2.4,3.1,1.1,0.3,0.2,0.7,2.0,5.1,https://www.basketball-reference.com//players/f/ferryda01.html
1992-93,26,CLE,NBA,PF,76,1,19.2,2.9,6.0,.479,0.4,1.1,.415,2.4,5.0,.493,.516,1.3,1.5,.876,1.1,2.6,3.7,1.8,0.4,0.6,1.1,2.3,7.5,https://www.basketball-reference.com//players/f/ferryda01.html
1993-94,27,CLE,NBA,PF,70,1,13.8,2.1,4.8,.446,0.2,0.7,.275,1.9,4.0,.477,.467,0.5,0.6,.884,0.7,1.3,2.0,1.1,0.4,0.3,0.6,1.6,5.0,https://www.basketball-reference.com//players/f/ferryda01.html
1994-95,28,CLE,NBA,PF,82,6,15.7,2.7,6.1,.446,1.1,2.8,.403,1.6,3.3,.483,.540,0.9,1.0,.881,0.4,1.4,1.7,1.2,0.3,0.3,0.7,1.6,7.5,https://www.basketball-reference.com//players/f/ferryda01.html
1995-96,29,CLE,NBA,PF,82,79,32.7,5.1,11.2,.459,1.7,4.4,.394,3.4,6.8,.502,.537,1.3,1.6,.769,0.9,2.9,3.8,2.3,0.7,0.5,1.5,2.8,13.3,https://www.basketball-reference.com//players/f/ferryda01.html
1996-97,30,CLE,NBA,PF,82,48,32.1,4.2,9.7,.429,1.4,3.5,.401,2.8,6.2,.445,.501,0.9,1.1,.851,1.0,3.1,4.1,1.8,0.7,0.4,1.1,3.0,10.6,https://www.basketball-reference.com//players/f/ferryda01.html
1997-98,31,CLE,NBA,PF,69,3,15.0,1.6,4.1,.395,0.5,1.4,.333,1.2,2.7,.428,.453,0.5,0.6,.800,0.3,1.3,1.7,0.9,0.4,0.2,0.8,1.7,4.2,https://www.basketball-reference.com//players/f/ferryda01.html
