Year,Pick,Team,Player,Position
1989,1,SAC,Pervis Ellison,Center
1989,2,LAC,Danny Ferry,Power
1989,3,SAS,Sean Elliott,Small
1989,4,MIA,Glen Rice,Small
1989,5,CHH,J.R. Reid,Power
1989,6,CHI,Stacey King,Power
1989,7,IND,George McCloud,Small
1989,8,DAL,Randy White,Power
1989,9,WSB,Tom Hammonds,Power
1989,10,MIN,Pooh Richardson,Point
1989,11,ORL,Nick Anderson,Shooting
1989,12,NJN,Mookie Blaylock,Point
1989,13,BOS,Michael Smith,Power
1989,14,GSW,Tim Hardaway,Point
1989,15,DEN,Todd Lichti,Shooting
1989,16,SEA,Dana Barros,Point
1989,17,SEA,Shawn Kemp,Power
1989,18,CHI,B.J. Armstrong,Point
1989,19,PHI,Kenny Payne,Small
1989,20,CHI,Jeff Sanders,Power
1989,21,UTA,Blue Edwards,Small
1989,22,POR,Byron Irvin,Shooting
1989,23,ATL,Roy Marble,Shooting
1989,24,PHO,Anthony Cook,Power
1989,25,CLE,John Morton,Shooting
1989,26,LAL,Vlade Divac,Center
1989,27,DET,Kenny Battle,Shooting
1989,28,MIA,Sherman Douglas,Point
1989,29,CHH,Dyron Nix,Small
1989,30,MIL,Frank Kornet,Power
1989,31,LAC,Jeff Martin,Shooting
1989,32,NJN,Stanley Brundy,Small
1989,33,LAC,Jay Edwards,Shooting
1989,34,MIN,Gary Leonard,Center
1989,35,DAL,Pat Durham,Small
1989,36,POR,Clifford Robinson,Power
1989,37,ORL,Michael Ansley,Small
1989,38,MIN,Doug West,Shooting
1989,39,WSB,Ed Horton,Power
1989,40,BOS,Dino Radja,Power
1989,41,WSB,Doug Roth,Center
1989,42,DEN,Michael Cutright,Unknown
1989,43,CLE,Chucky Brown,Small
1989,44,PHI,Reggie Cross,Unknown
1989,45,MIA,Scott Haffner,Point
1989,46,PHO,Ricky Blanton,Small
1989,47,DEN,Reggie Turner,Unknown
1989,48,UTA,Junie Lewis,Unknown
1989,49,ATL,Haywoode Workman,Point
1989,50,NYK,Brian Quinnett,Shooting
1989,51,PHO,Mike Morrison,Shooting
1989,52,PHO,Greg Grant,Point
1989,53,DAL,Jeff Hodge,Unknown
1989,54,PHI,Toney Mack,Unknown
1990,1,NJN,Derrick Coleman,Power
1990,2,SEA,Gary Payton,Point
1990,3,DEN,Mahmoud Abdul-Rauf,Point
1990,4,ORL,Dennis Scott,Small
1990,5,CHH,Kendall Gill,Shooting
1990,6,MIN,Felton Spencer,Center
1990,7,SAC,Lionel Simmons,Small
