season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,link,all_star
1989,22.0,SAC,NBA,C,34.0,22.0,25.5,3.3,7.4,0.442,0.0,0.1,0.0,3.3,7.3,0.446,0.442,1.4,2.3,0.628,1.9,3.9,5.8,1.9,0.5,1.7,1.8,3.9,8.0,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1990,23.0,WSB,NBA,C,76.0,30.0,25.6,4.3,8.4,0.513,0.0,0.1,0.0,4.3,8.3,0.517,0.513,1.8,2.8,0.65,2.9,4.8,7.7,1.3,0.6,2.1,1.9,3.5,10.4,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1991,24.0,WSB,NBA,C,66.0,64.0,38.0,8.3,15.4,0.539,0.0,0.0,0.33299999999999996,8.3,15.3,0.54,0.54,3.4,4.7,0.728,3.3,7.9,11.2,2.9,0.9,2.7,3.0,3.4,20.0,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1992,25.0,WSB,NBA,C,49.0,48.0,34.7,7.0,13.4,0.521,0.0,0.1,0.0,7.0,13.3,0.524,0.521,3.5,4.9,0.7020000000000001,2.8,6.0,8.8,2.4,0.9,2.2,2.2,3.1,17.4,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1993,26.0,WSB,NBA,C,47.0,24.0,25.1,2.9,6.2,0.469,0.0,0.1,0.0,2.9,6.1,0.474,0.469,1.5,2.1,0.722,1.6,3.5,5.1,1.5,0.5,1.1,1.6,3.0,7.3,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1994,27.0,BOS,NBA,C,55.0,11.0,19.7,2.8,5.5,0.507,0.0,0.0,0.0,2.8,5.4,0.51,0.507,1.3,1.8,0.7170000000000001,2.3,3.4,5.6,0.6,0.4,1.0,1.4,3.3,6.8,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1995,28.0,BOS,NBA,C,69.0,29.0,20.7,2.1,4.3,0.49200000000000005,0.0,0.0,,2.1,4.3,0.49200000000000005,0.49200000000000005,1.1,1.7,0.6409999999999999,2.2,4.3,6.5,0.9,0.6,1.4,1.2,3.0,5.3,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1996,29.0,BOS,NBA,PF,6.0,4.0,20.8,1.0,2.7,0.375,0.0,0.0,,1.0,2.7,0.375,0.375,0.5,0.8,0.6,1.5,2.8,4.3,0.7,0.8,1.5,1.2,3.5,2.5,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1997,30.0,BOS,NBA,PF,33.0,8.0,13.5,1.2,2.1,0.5710000000000001,0.0,0.0,,1.2,2.1,0.5710000000000001,0.5710000000000001,0.6,1.0,0.588,1.6,1.7,3.3,0.9,0.6,0.9,0.8,2.7,3.0,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1999,32.0,BOS,NBA,C,30.0,5.0,9.0,0.6,1.4,0.442,0.0,0.0,,0.6,1.4,0.442,0.442,0.5,0.7,0.7140000000000001,1.0,1.3,2.2,0.4,0.3,0.3,0.4,2.2,1.8,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
2000,33.0,SEA,NBA,C,9.0,0.0,4.4,0.2,0.8,0.28600000000000003,0.0,0.0,,0.2,0.8,0.28600000000000003,0.28600000000000003,0.2,0.2,1.0,0.2,1.1,1.3,0.3,0.0,0.2,0.3,1.4,0.7,https://www.basketball-reference.com//players/e/ellispe01.html,0.0
1990,24.0,CLE,NBA,PF,81.0,2.0,20.5,3.4,7.9,0.428,0.3,1.0,0.299,3.1,7.0,0.445,0.446,1.5,1.9,0.816,1.2,2.3,3.5,1.8,0.5,0.3,1.5,2.8,8.6,https://www.basketball-reference.com//players/f/ferryda01.html,0.0
