year,pick,team,player,position,link
1989,1,SAC,Pervis Ellison,Center,https://www.basketball-reference.com//players/e/ellispe01.html
1989,2,LAC,Danny Ferry,Power,https://www.basketball-reference.com//players/f/ferryda01.html
1989,3,SAS,Sean Elliott,Small,https://www.basketball-reference.com//players/e/elliose01.html
1989,4,MIA,Glen Rice,Small,https://www.basketball-reference.com//players/r/ricegl01.html
1989,5,CHH,J.R. Reid,Power,https://www.basketball-reference.com//players/r/reidjr01.html
1989,6,CHI,Stacey King,Power,https://www.basketball-reference.com//players/k/kingst01.html
1989,7,IND,George McCloud,Small,https://www.basketball-reference.com//players/m/mccloge01.html
1989,8,DAL,Randy White,Power,https://www.basketball-reference.com//players/w/whitera01.html
1989,9,WSB,Tom Hammonds,Power,https://www.basketball-reference.com//players/h/hammoto01.html
1989,10,MIN,Pooh Richardson,Point,https://www.basketball-reference.com//players/r/richapo01.html
1989,11,ORL,Nick Anderson,Shooting,https://www.basketball-reference.com//players/a/anderni01.html
1989,12,NJN,Mookie Blaylock,Point,https://www.basketball-reference.com//players/b/blaylmo01.html
1989,13,BOS,Michael Smith,Power,https://www.basketball-reference.com//players/s/smithmi01.html
1989,14,GSW,Tim Hardaway,Point,https://www.basketball-reference.com//players/h/hardati01.html
1989,15,DEN,Todd Lichti,Shooting,https://www.basketball-reference.com//players/l/lichtto01.html
1989,16,SEA,Dana Barros,Point,https://www.basketball-reference.com//players/b/barroda01.html
1989,17,SEA,Shawn Kemp,Power,https://www.basketball-reference.com//players/k/kempsh01.html
1989,18,CHI,B.J. Armstrong,Point,https://www.basketball-reference.com//players/a/armstbj01.html
1989,19,PHI,Kenny Payne,Small,https://www.basketball-reference.com//players/p/payneke01.html
1989,20,CHI,Jeff Sanders,Power,https://www.basketball-reference.com//players/s/sandeje01.html
1989,21,UTA,Blue Edwards,Small,https://www.basketball-reference.com//players/e/edwarbl01.html
1989,22,POR,Byron Irvin,Shooting,https://www.basketball-reference.com//players/i/irvinby01.html
1989,23,ATL,Roy Marble,Shooting,https://www.basketball-reference.com//players/m/marblro01.html
1989,24,PHO,Anthony Cook,Power,https://www.basketball-reference.com//players/c/cookan01.html
1989,25,CLE,John Morton,Shooting,https://www.basketball-reference.com//players/m/mortojo01.html
1989,26,LAL,Vlade Divac,Center,https://www.basketball-reference.com//players/d/divacvl01.html
1989,27,DET,Kenny Battle,Shooting,https://www.basketball-reference.com//players/b/battlke01.html
1989,28,MIA,Sherman Douglas,Point,https://www.basketball-reference.com//players/d/douglsh01.html
1989,29,CHH,Dyron Nix,Small,https://www.basketball-reference.com//players/n/nixdy01.html
