season,teams,lg,salary,link,salary_cap
1989,Sacramento Kings,NBA,2400000,https://www.basketball-reference.com//players/e/ellispe01.html,9802000
1990,Washington Bullets,NBA,2300000,https://www.basketball-reference.com//players/e/ellispe01.html,11871000
1991,Washington Bullets,NBA,2300000,https://www.basketball-reference.com//players/e/ellispe01.html,12500000
1992,Washington Bullets,NBA,2300000,https://www.basketball-reference.com//players/e/ellispe01.html,14000000
1993,Washington Bullets,NBA,2300000,https://www.basketball-reference.com//players/e/ellispe01.html,15175000
1994,Boston Celtics,NBA,1100000,https://www.basketball-reference.com//players/e/ellispe01.html,15964000
1995,Boston Celtics,NBA,1430000,https://www.basketball-reference.com//players/e/ellispe01.html,23000000
1996,Boston Celtics,NBA,1760000,https://www.basketball-reference.com//players/e/ellispe01.html,24363000
1997,Boston Celtics,NBA,2090000,https://www.basketball-reference.com//players/e/ellispe01.html,26900000
1998,Boston Celtics,NBA,2420000,https://www.basketball-reference.com//players/e/ellispe01.html,30000000
1999,Boston Celtics,NBA,2750000,https://www.basketball-reference.com//players/e/ellispe01.html,34000000
2000,Seattle SuperSonics,NBA,1000000,https://www.basketball-reference.com//players/e/ellispe01.html,35500000
1990,Cleveland Cavaliers,NBA,2640000,https://www.basketball-reference.com//players/f/ferryda01.html,11871000
1991,Cleveland Cavaliers,NBA,2843000,https://www.basketball-reference.com//players/f/ferryda01.html,12500000
1992,Cleveland Cavaliers,NBA,3143000,https://www.basketball-reference.com//players/f/ferryda01.html,14000000
1993,Cleveland Cavaliers,NBA,3543000,https://www.basketball-reference.com//players/f/ferryda01.html,15175000
1994,Cleveland Cavaliers,NBA,4042000,https://www.basketball-reference.com//players/f/ferryda01.html,15964000
1995,Cleveland Cavaliers,NBA,4643000,https://www.basketball-reference.com//players/f/ferryda01.html,23000000
1996,Cleveland Cavaliers,NBA,4643000,https://www.basketball-reference.com//players/f/ferryda01.html,24363000
