season,teams,lg,salary,link
1989-90,Sacramento Kings,NBA,"$2,400,000",https://www.basketball-reference.com//players/e/ellispe01.html
1990-91,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1991-92,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1992-93,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1993-94,Washington Bullets,NBA,"$2,300,000",https://www.basketball-reference.com//players/e/ellispe01.html
1994-95,Boston Celtics,NBA,"$1,100,000",https://www.basketball-reference.com//players/e/ellispe01.html
1995-96,Boston Celtics,NBA,"$1,430,000",https://www.basketball-reference.com//players/e/ellispe01.html
1996-97,Boston Celtics,NBA,"$1,760,000",https://www.basketball-reference.com//players/e/ellispe01.html
1997-98,Boston Celtics,NBA,"$2,090,000",https://www.basketball-reference.com//players/e/ellispe01.html
1998-99,Boston Celtics,NBA,"$2,420,000",https://www.basketball-reference.com//players/e/ellispe01.html
1999-00,Boston Celtics,NBA,"$2,750,000",https://www.basketball-reference.com//players/e/ellispe01.html
2000-01,Seattle SuperSonics,NBA,"$1,000,000",https://www.basketball-reference.com//players/e/ellispe01.html
1990-91,Cleveland Cavaliers,NBA,"$2,640,000",https://www.basketball-reference.com//players/f/ferryda01.html
1991-92,Cleveland Cavaliers,NBA,"$2,843,000",https://www.basketball-reference.com//players/f/ferryda01.html
1992-93,Cleveland Cavaliers,NBA,"$3,143,000",https://www.basketball-reference.com//players/f/ferryda01.html
1993-94,Cleveland Cavaliers,NBA,"$3,543,000",https://www.basketball-reference.com//players/f/ferryda01.html
1994-95,Cleveland Cavaliers,NBA,"$4,042,000",https://www.basketball-reference.com//players/f/ferryda01.html
1995-96,Cleveland Cavaliers,NBA,"$4,643,000",https://www.basketball-reference.com//players/f/ferryda01.html
1996-97,Cleveland Cavaliers,NBA,"$4,643,000",https://www.basketball-reference.com//players/f/ferryda01.html
1997-98,Cleveland Cavaliers,NBA,"$4,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
1998-99,Cleveland Cavaliers,NBA,"$4,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
1999-00,Cleveland Cavaliers,NBA,"$4,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
2000-01,San Antonio Spurs,NBA,"$1,200,000",https://www.basketball-reference.com//players/f/ferryda01.html
2001-02,San Antonio Spurs,NBA,"$1,000,000",https://www.basketball-reference.com//players/f/ferryda01.html
2002-03,San Antonio Spurs,NBA,"$4,546,000",https://www.basketball-reference.com//players/f/ferryda01.html
1989-90,San Antonio Spurs,NBA,"$1,800,000",https://www.basketball-reference.com//players/e/elliose01.html
1990-91,San Antonio Spurs,NBA,"$1,800,000",https://www.basketball-reference.com//players/e/elliose01.html
1991-92,San Antonio Spurs,NBA,"$1,802,000",https://www.basketball-reference.com//players/e/elliose01.html
1992-93,San Antonio Spurs,NBA,"$1,802,000",https://www.basketball-reference.com//players/e/elliose01.html
1993-94,Detroit Pistons,NBA,"$1,807,000",https://www.basketball-reference.com//players/e/elliose01.html
1994-95,San Antonio Spurs,NBA,"$1,350,000",https://www.basketball-reference.com//players/e/elliose01.html
1995-96,San Antonio Spurs,NBA,"$5,333,000",https://www.basketball-reference.com//players/e/elliose01.html
1996-97,San Antonio Spurs,NBA,"$5,333,000",https://www.basketball-reference.com//players/e/elliose01.html
1997-98,San Antonio Spurs,NBA,"$5,333,333",https://www.basketball-reference.com//players/e/elliose01.html
1998-99,San Antonio Spurs,NBA,"$5,333,000",https://www.basketball-reference.com//players/e/elliose01.html
1999-00,San Antonio Spurs,NBA,"$5,433,333",https://www.basketball-reference.com//players/e/elliose01.html
2000-01,San Antonio Spurs,NBA,"$5,300,000",https://www.basketball-reference.com//players/e/elliose01.html
1989-90,Miami Heat,NBA,"$1,600,000",https://www.basketball-reference.com//players/r/ricegl01.html
1990-91,Miami Heat,NBA,"$1,550,000",https://www.basketball-reference.com//players/r/ricegl01.html
